"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5"
"372",1713,3,2,4,NA,1,4,4,1,5,5
"373",1714,3,2,2,NA,1,5,1,5,4,4
"374",1715,3,2,3,NA,1,5,4,3,4,3
"375",1716,3,2,4,NA,2,5,5,5,5,3
"376",1717,3,2,4,NA,1,4,4,4,5,5
"377",1718,3,2,1,NA,0,4,98,3,98,4
"378",1719,3,2,3,NA,0,5,5,3,5,5
"379",1720,3,2,4,NA,2,5,3,3,5,3
"380",1721,3,2,2,NA,3,5,1,5,4,5
"381",1722,3,2,4,NA,1,5,98,3,4,1
"382",1723,3,2,2,NA,2,5,5,5,5,5
"383",1724,3,2,4,NA,1,5,5,5,5,5
"384",1725,3,2,4,NA,0,4,4,3,5,98
"385",1726,3,2,4,NA,0,5,4,4,4,4
"386",1727,3,2,2,NA,0,5,5,5,5,5
"387",1728,3,2,2,NA,1,5,4,3,5,5
"388",1729,3,2,4,NA,2,5,3,3,5,4
"389",1730,3,2,4,NA,1,4,4,4,4,4
"390",1731,3,2,4,NA,1,5,1,4,5,4
"391",1732,3,2,4,NA,3,5,4,4,5,4
"392",1733,3,2,4,NA,NA,3,5,3,4,4
"393",1734,3,2,4,NA,0,5,99,3,5,5
"394",1735,3,2,4,NA,4,5,5,4,5,4
"395",1736,3,2,4,NA,1,5,5,5,5,5
"396",1737,3,2,4,NA,0,5,5,5,5,4
"397",1738,3,2,4,NA,1,5,1,1,5,5
"398",1739,3,2,4,NA,1,5,5,98,5,5
"399",1740,3,2,4,NA,0,5,1,4,5,5
"400",1741,3,2,4,NA,1,4,4,4,4,3
"401",1742,3,2,4,NA,1,5,5,5,5,5
"402",1743,3,2,4,NA,0,5,5,1,3,1
"403",1744,3,2,4,NA,1,4,98,4,4,4
"404",1745,3,2,4,NA,1,5,5,5,5,5
"405",1746,3,2,4,NA,0,4,1,3,5,5
"406",1747,3,2,4,NA,2,4,4,3,4,5
"407",1748,3,2,2,NA,0,3,3,3,3,5
"408",1749,3,2,4,NA,2,5,5,5,5,4
"409",1750,3,2,1,NA,0,5,1,3,1,5
"410",1751,3,2,4,NA,2,5,5,2,5,1
"411",1752,3,2,4,NA,3,5,4,5,5,2
"412",1753,3,2,2,NA,1,5,1,5,5,5
"413",1754,3,2,4,NA,1,3,3,1,1,5
"414",1755,3,2,4,NA,2,5,1,2,4,4
"415",1756,3,2,4,NA,1,5,5,3,4,5
"416",1757,3,2,1,NA,1,3,3,3,4,98
"417",1758,3,2,2,NA,3,5,3,5,5,5
"418",1759,3,2,4,NA,1,5,4,2,5,5
"419",1760,3,2,2,NA,1,5,5,2,5,2
"420",1761,3,2,4,NA,2,5,4,4,5,4
"421",1762,3,2,2,NA,1,5,3,4,3,4
"422",1763,3,2,4,NA,5,5,1,2,5,5
"423",1764,3,2,4,NA,1,5,1,1,5,1
"424",1765,3,2,2,NA,2,5,5,2,5,5
"425",1766,3,2,4,NA,4,4,4,4,4,4
"426",1767,3,2,4,NA,2,5,5,5,5,5
"427",1768,3,2,4,NA,1,4,4,2,4,4
"428",1769,3,2,3,NA,0,5,5,1,5,5
"429",1770,3,2,3,NA,0,4,2,4,3,3
"430",1771,3,2,4,NA,0,5,4,3,5,3
"431",1772,3,2,4,NA,4,5,5,5,4,4
"432",1773,3,2,4,NA,0,4,2,2,3,2
